,date,Institution_Total,Foreign_Investor,Investment_Trust,Dealer,Dealer_Hedging,Dealer_self,Foreign_Dealer_Self,Open,High,Low,Close,Volume,MA5,MA10,MA20,MA60,RSI
20110309,20110309,-364608218,-651335365,65240383,221486764,0,0,0,8810.349609,8824.410156,8730.740234,8750.019531,2811200,8746.866016,8675.202051,8718.311475,8834.401107,49.20023906
20110310,20110310,-6911368778,-5743544162,-631766967,-536057649,0,0,0,8754.410156,8754.410156,8635.75,8642.900391,2763000,8727.77207,8686.598047,8700.115479,8833.412272,44.01076741
20110311,20110311,-14762409225,-13771105774,-181971061,-809332390,0,0,0,8566.910156,8593.709961,8513.509766,8567.820313,2422200,8684.456055,8689.216113,8686.678516,8831.136117,40.76521942
20110314,20110314,-5289717434,-3040739478,-482602808,-1766375148,0,0,0,8616.290039,8616.290039,8395.110352,8520.019531,3309000,8645.701953,8681.253027,8682.186475,8828.073275,38.80325029
20110315,20110315,-16051522594,-11535814298,-1259922455,-3255785841,0,0,0,8493.830078,8519.900391,8070.52002,8234.780273,4871800,8543.108008,8631.975098,8659.652002,8819.422282,29.63693724
20110316,20110316,1426397501,-1412163401,994474705,1844086197,0,0,0,8317.379883,8372.019531,8257.080078,8324.580078,3250800,8458.020117,8602.443066,8639.784522,8812.851449,34.85443437
20110317,20110317,-9679456516,-9408004921,-335987199,64535604,0,0,0,8190.5,8282.69043,8150.72998,8282.69043,3048000,8385.978125,8556.875098,8618.271045,8805.286458,33.60271255
20110318,20110318,-8108741330,-8268815863,900758211,-740683678,0,0,0,8343.790039,8399.169922,8312.879883,8394.75,3085400,8351.364062,8517.910059,8603.814551,8799.52513,39.82815255
20110321,20110321,-2119502402,-2175009126,767241454,-711734730,0,0,0,8421.660156,8508.200195,8394.219727,8467.709961,2464000,8340.902148,8493.302051,8585.008057,8794.708464,43.53992617
20110322,20110322,-5796077759,-6172627059,579511339,-202962039,0,0,0,8523.269531,8552.820313,8508.040039,8508.040039,2781400,8395.554102,8469.331055,8568.449072,8790.139128,45.539773
20110323,20110323,-1061718213,-926538842,-99238605,-35940766,0,0,0,8529.929688,8551.120117,8481.959961,8545.080078,2474600,8439.654102,8448.837109,8562.01958,8785.592122,47.38312142
20110324,20110324,1138839010,663591648,-266204422,741451784,0,0,0,8589.709961,8603.429688,8550.599609,8576.400391,2431800,8498.396094,8442.187109,8564.392578,8782.3868,48.95641051
20110325,20110325,13000073781,12162067004,437968953,400037824,0,0,0,8645.370117,8658.049805,8587.839844,8610.389648,2449400,8541.524023,8446.444043,8567.830078,8778.76346,50.67989624
20110328,20110328,1554434122,1888639394,-72111000,-262094272,0,0,0,8587.990234,8604.240234,8549.259766,8553.05957,1942800,8558.593945,8449.748047,8565.500537,8773.639616,47.75118735
20110329,20110329,2821623416,3289134639,-753791206,286279983,0,0,0,8538.44043,8596.570313,8522.570313,8596.570313,2214000,8576.3,8485.927051,8558.951074,8768.601286,50.10771497
20110330,20110330,6279279118,5534006186,518659351,226613581,0,0,0,8605.830078,8671.589844,8605.830078,8646.30957,2544000,8596.545898,8518.1,8560.271533,8765.021452,52.73222791
20110331,20110331,1530391469,1992066048,-33357938,-428316641,0,0,0,8683.69043,8685.44043,8608.049805,8683.299805,2411400,8617.925781,8558.160938,8557.518018,8761.537956,54.64309811
20110401,20110401,1080671395,553383855,-170311498,697599038,0,0,0,8697.839844,8705.129883,8654.400391,8705.129883,1912600,8636.873828,8589.198926,8553.554492,8758.777458,55.77927204
20110406,20110406,24000544937,22215735493,-286020519,2070829963,0,0,0,8772.129883,8860.019531,8767.209961,8851.980469,2992600,8696.658008,8627.625977,8560.464014,8758.537972,62.57145616
20110407,20110407,10698057934,9141389878,-257925110,1814593166,0,0,0,8884.839844,8901.719727,8828.919922,8901.719727,2638400,8757.687891,8666.993945,8568.1625,8758.434798,64.55718556
20110408,20110408,15783253945,15771324685,234492787,-222563527,0,0,0,8904.44043,8929.05957,8862.490234,8894.540039,3122600,8807.333985,8701.939942,8575.388525,8756.255469,64.02912268
